Course,Admission_grade,Tuition_fees_up_to_date,Age_at_enrollment,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade
9238,127.6,1,18,6,6,11.666666666666666,8,5,13.2
9500,132.4,1,22,8,6,13.516666666666666,9,7,13.771428571428572
8014,133.4,1,21,6,6,11.5,7,6,13.285714285714286
9238,126.1,1,19,7,5,12.333333333333334,7,6,12.833333333333334
9254,113.5,1,24,6,6,13.666666666666666,6,6,14.166666666666666
9130,159.3,1,19,7,5,14.714285714285714,5,5,15.8
9991,120.0,1,27,12,5,10.6,10,5,11.0
9500,129.1,1,18,9,7,13.044444444444444,10,8,13.595
9254,130.0,1,39,10,0,0.0,6,0,0.0
9130,155.3,1,27,9,5,13.0,13,10,12.9
9500,139.8,1,18,8,8,14.935,8,8,14.935
9500,114.9,1,18,8,6,13.133333333333333,12,7,12.221428571428572
9238,131.9,1,21,7,6,12.0,7,6,12.0
9500,126.0,1,29,10,5,11.9,10,5,11.0
171,128.2,1,19,0,0,0.0,0,0,0.0
9003,130.0,1,23,8,6,12.571428571428571,7,6,12.428571428571429
9147,120.1,1,19,8,5,11.2,10,4,10.75
9500,130.8,1,24,8,7,11.975,8,8,13.75
171,135.8,1,19,0,0,0.0,0,0,0.0
9254,111.7,1,18,12,3,11.666666666666666,12,1,12.0
9773,132.9,1,18,8,6,12.333333333333334,11,3,12.333333333333334
9147,115.5,1,18,8,3,10.333333333333334,11,3,10.857142857142858
9254,106.0,1,21,8,4,10.5,11,1,11.0
9773,120.3,1,19,6,6,13.666666666666666,6,6,13.333333333333334
9500,130.8,1,22,7,7,14.842857142857142,9,8,15.055555555555555
8014,117.0,1,33,8,6,12.0,6,6,11.666666666666666
9853,110.2,1,20,8,5,12.2,7,5,12.2
9991,155.7,1,35,1,0,0.0,0,0,0.0
9003,180.4,1,24,17,6,12.166666666666666,14,10,13.3
8014,110.0,1,33,7,6,11.0,11,5,11.0
9500,161.0,1,22,8,7,13.08,8,7,13.08
9670,100.0,1,25,7,4,10.5,7,5,11.6
9070,117.6,1,20,9,6,10.666666666666666,6,5,11.2
9500,100.8,1,24,18,0,0.0,7,0,0.0
9773,105.0,0,21,6,6,14.0,6,6,13.5
9130,100.0,1,26,7,2,12.0,6,0,0.0
9853,115.5,1,39,12,3,12.666666666666666,14,0,0.0
8014,114.0,1,44,11,8,11.875,7,6,12.333333333333334
9773,124.9,1,18,6,6,13.666666666666666,6,6,13.333333333333334
9500,120.3,1,18,7,7,13.75,9,8,14.47777777777778
9500,111.5,0,19,10,4,11.96,7,0,0.0
9085,128.8,1,21,12,8,12.875,14,5,13.4
171,110.0,1,20,0,0,0.0,0,0,0.0
8014,113.5,1,36,0,0,0.0,0,0,0.0
9003,160.0,1,43,19,18,14.63157894736842,14,13,14.23076923076923
9853,117.4,1,19,0,0,0.0,0,0,0.0
9070,122.2,1,20,12,10,13.0,11,11,12.272727272727272
9238,118.2,1,19,0,0,0.0,0,0,0.0
9085,106.7,1,20,15,4,14.2,17,4,13.25
9500,108.2,1,20,9,6,13.266666666666666,10,5,12.3
9238,136.1,1,18,8,6,13.857142857142858,6,6,15.0
9085,139.8,1,19,6,5,13.4,5,5,12.8
9773,157.0,1,18,6,6,12.666666666666666,7,6,12.571428571428571
9500,131.0,1,18,7,6,12.516666666666666,7,6,12.516666666666666
9085,137.0,1,18,12,5,13.142857142857142,6,5,11.4
9147,121.8,1,18,5,5,12.6,5,5,14.0
9254,131.0,1,21,12,3,11.0,12,2,11.0
9147,118.6,1,19,8,5,10.8,9,4,11.25
171,122.3,1,19,0,0,0.0,0,0,0.0
9670,127.9,1,19,5,5,12.8,5,5,14.2
9085,121.3,1,19,15,6,14.166666666666666,13,6,12.2
9556,117.1,1,19,12,5,12.1,0,0,0.0
9085,160.0,1,20,7,6,14.166666666666666,17,5,13.77777777777778
9238,122.6,1,18,7,6,13.0,6,6,13.666666666666666
9500,128.0,1,19,7,7,13.467142857142855,9,8,15.011111111111113
9500,124.9,1,18,9,7,13.2375,9,7,13.742857142857144
9070,123.7,1,18,6,6,12.333333333333334,6,6,13.0
9147,120.1,1,19,7,5,12.4,5,5,14.6
9500,131.7,1,19,8,5,14.0,7,0,0.0
9238,133.2,1,20,15,9,11.666666666666666,8,7,11.714285714285714
9670,109.3,0,19,7,5,12.0,9,4,12.5
9670,113.0,1,20,7,4,12.2,5,4,11.5
9773,157.9,1,18,6,6,14.833333333333334,6,6,14.833333333333334
9500,174.7,1,18,8,7,17.125,8,8,17.5875
9500,128.8,1,19,7,6,12.666666666666666,7,6,12.666666666666666
9773,110.1,1,19,8,6,12.666666666666666,10,5,12.0
9238,121.0,1,19,7,6,11.333333333333334,6,6,11.5
9500,131.7,1,19,10,7,13.605,11,8,12.33125
9853,119.1,1,19,10,5,12.0,9,5,10.8
9254,124.7,1,19,10,0,0.0,10,0,0.0
9254,117.2,1,20,8,5,11.2,12,3,11.666666666666666
9147,128.8,1,18,10,5,13.375,9,5,14.166666666666666
9500,131.5,1,20,8,6,13.863333333333337,9,7,14.178571428571429
9085,123.4,1,19,6,5,12.4,6,5,13.4
9853,132.8,1,18,7,6,13.333333333333334,8,5,11.8
9853,108.7,1,21,10,3,12.666666666666666,12,3,10.0
9853,138.1,1,19,8,6,12.0,10,4,11.5
9147,126.5,1,18,5,5,10.6,5,5,11.8
9238,127.4,1,18,8,6,12.25,7,6,11.857142857142858
9238,123.6,1,20,10,4,11.0,9,6,11.833333333333334
8014,122.0,1,24,11,5,11.0,9,5,12.6
9670,118.2,1,19,6,6,13.166666666666666,9,6,13.0
9500,123.9,1,18,9,7,12.855555555555554,12,7,12.761111111111113
9500,125.8,1,18,8,7,14.91875,8,8,15.355
9853,123.3,1,21,13,4,11.5,10,3,11.0
9670,124.4,1,19,5,5,14.2,5,5,14.2
9773,126.0,1,19,6,6,12.5,7,6,13.0
9238,121.5,1,19,10,5,11.666666666666666,12,4,11.0
9500,130.0,1,29,8,7,14.257142857142856,8,7,14.257142857142856
9238,117.0,1,21,13,3,12.0,12,2,11.333333333333334
9556,108.0,1,20,8,7,12.457142857142856,8,8,13.5625
9500,132.3,1,19,7,6,11.683333333333332,7,6,11.683333333333332
8014,148.0,1,26,10,3,11.666666666666666,8,5,12.0
9254,122.6,0,20,8,4,11.75,6,6,13.166666666666666
9853,102.5,1,27,9,5,13.2,10,5,12.0
9500,113.3,1,20,8,4,11.95,8,4,11.95
9853,133.0,1,18,8,5,12.4,12,5,10.4
9500,140.0,1,33,8,6,14.35,10,6,14.583333333333334
9853,128.3,1,35,21,21,12.61904761904762,19,19,12.789473684210526
9773,104.0,0,27,6,5,12.0,6,0,0.0
9070,122.3,0,19,6,6,12.166666666666666,6,0,0.0
9254,135.0,1,20,0,0,0.0,0,0,0.0
9147,119.1,0,20,9,3,10.0,9,3,10.571428571428571
9500,129.0,1,18,7,6,13.05,7,6,13.05
9085,162.3,1,24,10,2,11.0,6,0,0.0
9070,163.4,1,20,7,6,11.5,6,6,12.0
9254,121.5,1,21,7,6,12.0,6,6,12.5
9147,118.0,1,24,5,0,0.0,5,0,0.0
9853,134.0,1,21,0,0,0.0,0,0,0.0
9500,129.8,1,18,8,7,12.242857142857144,8,7,12.242857142857144
9991,152.0,1,27,0,0,0.0,0,0,0.0
9500,122.8,1,18,8,8,12.93375,8,8,12.93375
9119,150.0,1,35,0,0,0.0,0,0,0.0
9853,131.8,1,18,9,7,12.571428571428571,8,7,14.428571428571429
9085,132.1,1,19,9,4,13.75,13,4,14.333333333333334
9238,127.4,1,20,8,6,11.166666666666666,6,6,11.333333333333334
9500,129.5,1,18,8,7,12.324285714285711,8,7,12.324285714285711
9238,126.7,1,21,6,6,12.166666666666666,7,6,11.714285714285714
9238,116.5,1,18,11,5,11.142857142857142,11,4,11.25
9238,119.1,1,18,9,4,11.0,9,4,10.75
9500,126.5,1,18,8,7,12.914285714285713,8,7,12.914285714285713
9773,149.8,1,18,6,6,13.833333333333334,6,6,14.166666666666666
9085,115.1,1,19,8,6,13.857142857142858,9,5,13.4
9254,124.5,1,36,7,6,13.714285714285714,6,5,12.8
9500,128.3,1,18,8,7,12.642857142857142,8,7,12.642857142857142
9500,136.0,1,18,7,6,12.916666666666666,7,6,12.916666666666666
9130,140.0,1,20,8,6,15.625,8,6,15.857142857142858
9991,126.3,1,26,7,0,0.0,8,0,0.0
9773,126.9,1,21,8,6,11.714285714285714,7,6,12.0
9147,115.8,1,19,7,5,11.6,5,5,11.6
8014,100.0,1,24,11,1,10.0,6,0,0.0
8014,102.5,1,27,16,1,10.0,13,0,0.0
9085,131.5,1,21,10,0,0.0,9,2,13.5
9147,147.0,1,18,7,4,13.0,8,3,12.333333333333334
9853,122.5,1,19,6,6,13.333333333333334,6,6,14.5
9254,117.5,1,18,9,4,11.25,13,2,12.5
9500,150.0,1,19,9,5,13.85,9,7,12.19285714285714
9500,127.5,1,19,8,6,13.741666666666667,9,7,14.9125
9991,140.0,1,33,7,6,15.333333333333334,5,5,15.8
9147,130.0,1,45,6,5,11.0,5,5,13.8
9238,133.3,1,20,6,6,12.0,7,6,12.857142857142858
9670,97.0,1,28,5,0,0.0,5,0,0.0
9500,112.0,1,19,15,7,11.571428571428571,15,7,11.571428571428571
9254,123.6,1,18,10,6,12.857142857142858,6,3,12.666666666666666
9254,130.5,1,38,0,0,0.0,0,0,0.0
9670,133.3,1,19,5,5,13.0,5,5,13.2
9254,132.1,1,21,9,5,11.0,8,5,12.0
9147,100.0,1,21,12,3,12.0,12,1,15.0
9238,140.4,1,22,6,5,12.6,6,6,13.0
9853,141.7,1,18,8,5,13.4,7,6,13.166666666666666
9238,119.7,1,18,9,6,11.333333333333334,9,6,11.571428571428571
9130,122.5,0,25,14,4,13.5,10,4,14.25
9085,140.0,0,24,11,3,11.75,14,3,10.333333333333334
9147,119.1,1,20,5,5,11.6,5,5,13.6
9147,122.7,0,25,5,0,0.0,9,0,0.0
9147,117.9,1,20,13,9,12.9,12,10,12.363636363636363
9500,130.0,1,23,8,8,13.22,8,8,13.22
9500,120.0,1,19,8,7,13.151428571428571,8,7,13.151428571428571
9003,130.0,0,29,13,3,12.75,8,3,11.333333333333334
9254,116.8,1,21,8,6,11.333333333333334,8,4,12.25
9670,123.4,1,18,10,6,13.25,13,5,14.142857142857142
9773,127.2,1,18,6,6,15.0,6,6,12.833333333333334
9085,103.4,1,19,6,5,14.4,6,5,13.0
9147,124.1,1,18,8,5,12.4,6,5,10.8
9556,99.5,0,37,13,1,16.0,12,0,0.0
9991,124.9,1,29,10,5,13.571428571428571,14,5,12.333333333333334
9238,118.9,1,19,8,5,11.666666666666666,9,5,12.666666666666666
9238,118.8,0,22,16,6,11.833333333333334,8,2,13.0
9254,137.0,1,20,8,6,11.166666666666666,10,5,10.6
8014,100.0,1,34,0,0,0.0,0,0,0.0
9119,120.0,0,30,17,8,11.75,19,6,12.166666666666666
9238,122.8,1,18,7,6,14.0,7,6,14.0
9238,121.6,1,18,6,6,12.833333333333334,6,6,12.0
9773,149.2,1,18,11,4,12.25,10,3,11.666666666666666
9500,140.0,1,18,8,7,14.828571428571427,8,7,14.828571428571427
9773,133.4,1,19,7,5,11.4,8,5,12.8
9070,126.2,1,19,6,6,13.0,8,6,12.5
9500,127.8,1,18,8,7,13.671428571428573,8,7,13.671428571428573
9003,150.0,1,21,9,6,12.666666666666666,8,5,12.8
9147,113.7,0,20,10,2,10.0,12,1,13.0
9147,117.8,1,20,10,5,13.5,8,5,12.333333333333334
9500,136.7,1,19,8,7,12.67,8,8,13.55
9238,144.7,1,20,8,6,14.5,7,6,15.428571428571429
9500,139.8,1,18,7,7,13.685714285714283,8,8,15.3875
9853,113.7,1,20,8,5,11.0,10,3,10.666666666666666
9130,140.0,0,29,16,7,11.555555555555555,12,5,13.2
9500,119.6,1,20,8,7,14.00375,11,7,13.812857142857142
9147,123.7,1,22,8,4,12.0,8,4,11.4
8014,143.0,1,47,9,5,14.166666666666666,7,6,14.166666666666666
9991,100.1,1,31,5,5,14.0,5,5,13.8
9070,119.4,1,21,7,5,13.8,6,6,12.833333333333334
8014,122.1,1,21,8,5,12.8,10,6,11.857142857142858
9773,100.0,1,24,6,6,12.166666666666666,6,6,13.833333333333334
8014,101.0,1,32,9,4,12.0,12,4,11.5
8014,111.8,1,19,8,6,10.833333333333334,9,6,11.5
9500,140.0,1,24,8,8,13.385,8,8,13.385
9085,124.4,1,19,14,6,15.666666666666666,9,6,14.5
9003,150.0,1,19,9,6,14.333333333333334,7,6,13.833333333333334
9238,116.0,1,18,9,6,11.666666666666666,8,6,11.666666666666666
9070,135.6,1,19,9,5,12.0,10,2,11.333333333333334
9500,121.0,1,19,8,7,14.725714285714288,8,7,14.725714285714288
9773,118.7,1,18,6,6,14.166666666666666,6,6,13.666666666666666
9238,125.7,1,18,10,6,11.571428571428571,8,6,12.333333333333334
9556,107.1,1,20,7,7,12.5,8,8,13.1375
9500,125.5,1,18,10,8,12.86,10,8,12.86
9670,127.0,1,18,10,6,12.25,9,6,13.714285714285714
9085,113.5,1,21,7,4,12.0,5,5,12.2
9500,154.4,1,18,9,7,15.116666666666667,9,8,16.168888888888887
9670,122.0,0,18,6,2,12.5,6,4,10.25
9238,128.0,1,19,11,0,0.0,0,0,0.0
9670,117.2,1,18,8,6,11.875,11,4,14.6
9130,150.0,1,34,6,1,11.0,5,0,0.0
9085,155.3,1,19,5,5,15.2,6,5,13.2
9130,120.0,0,19,7,5,11.6,12,2,11.0
9238,116.1,1,26,6,6,14.833333333333334,7,6,15.142857142857142
9853,118.9,1,21,12,3,11.333333333333334,10,3,11.333333333333334
9147,127.3,1,18,5,5,11.2,5,5,11.8
9853,113.7,1,20,8,5,13.4,9,5,13.666666666666666
9147,118.5,1,25,12,2,10.5,5,0,0.0
9147,146.7,1,18,5,5,16.2,5,5,16.4
9500,124.3,1,18,7,7,14.542857142857144,11,8,14.88181818181818
9500,137.8,1,19,7,7,13.694285714285714,9,8,14.355555555555554
9238,130.2,1,18,8,6,11.285714285714286,10,6,11.857142857142858
9085,150.0,0,26,3,0,0.0,0,0,0.0
9500,100.0,1,19,8,7,13.058571428571428,8,7,13.058571428571428
9500,155.6,1,19,7,7,14.3,9,8,14.055555555555555
9147,117.4,1,19,15,5,11.8,14,8,12.0
9254,117.5,1,18,7,6,10.571428571428571,11,3,11.666666666666666
9500,120.4,1,19,7,6,13.333333333333334,7,6,13.333333333333334
9238,130.9,1,18,10,6,11.857142857142858,9,5,11.0
9119,151.0,1,26,6,0,0.0,5,0,0.0
9238,103.5,1,20,7,6,12.0,7,6,13.0
8014,119.4,1,19,6,6,12.666666666666666,6,6,11.666666666666666
9238,134.4,1,18,6,6,12.166666666666666,9,6,13.666666666666666
9238,143.0,1,19,6,6,13.333333333333334,6,6,14.666666666666666
9853,110.0,1,40,8,7,15.0,7,7,14.571428571428571
9500,132.5,1,18,8,8,13.39125,8,8,13.39125
9238,114.7,1,19,9,5,12.166666666666666,8,6,12.428571428571429
9130,166.9,1,18,9,4,11.25,6,4,12.5
171,178.3,1,18,0,0,0.0,0,0,0.0
8014,117.0,1,33,7,6,12.833333333333334,8,6,12.857142857142858
9003,150.0,1,35,10,6,14.0,11,6,13.1
9773,135.1,1,18,7,6,13.5,8,6,12.5
9991,136.2,1,39,6,5,11.0,9,5,11.666666666666666
9238,116.0,1,44,8,6,13.0,6,6,13.833333333333334
9254,116.3,1,24,9,4,12.6,6,4,11.5
9773,134.0,1,20,6,6,13.666666666666666,6,6,13.333333333333334
171,124.2,0,19,0,0,0.0,0,0,0.0
9500,134.5,1,18,7,6,14.2,7,6,14.2
9254,120.7,0,22,10,5,11.0,12,0,0.0
9085,127.1,1,18,7,6,15.0,7,6,16.428571428571427
9500,133.0,1,24,9,6,12.585714285714284,9,7,13.44285714285714
9991,128.2,1,33,0,0,0.0,0,0,0.0
9085,172.0,1,26,0,0,0.0,0,0,0.0
9853,128.5,1,18,7,6,11.666666666666666,10,6,11.833333333333334
9773,128.5,1,19,13,3,12.666666666666666,12,2,10.0
9085,142.5,1,22,18,8,13.5,16,7,13.714285714285714
9085,106.0,1,21,13,6,16.153846153846153,10,6,15.75
9500,125.5,1,21,7,6,14.033333333333331,7,6,14.033333333333331
9853,112.9,1,19,8,7,13.857142857142858,8,6,13.666666666666666
9500,124.8,1,18,8,7,13.414285714285716,8,7,13.414285714285716
8014,140.9,1,50,11,11,13.545454545454543,7,7,13.571428571428571
9773,148.4,1,19,6,6,13.833333333333334,7,6,14.428571428571429
9991,129.7,1,35,8,5,12.0,9,5,12.857142857142858
9085,128.2,1,31,0,0,0.0,0,0,0.0
9147,119.9,0,34,5,0,0.0,0,0,0.0
9500,141.0,1,18,7,7,15.135714285714286,8,8,15.287499999999998
9500,140.0,1,26,13,5,12.74,12,6,10.978571428571428
9853,117.0,1,19,7,6,13.428571428571429,6,6,13.166666666666666
9147,140.2,1,20,19,9,12.555555555555555,14,8,11.11111111111111
9238,129.3,1,19,8,6,11.5,7,6,11.166666666666666
9853,145.3,1,18,6,6,13.666666666666666,9,6,12.333333333333334
9991,146.2,1,28,16,11,11.272727272727272,16,10,12.0
8014,156.1,1,21,6,6,14.666666666666666,6,6,14.166666666666666
9773,128.4,0,18,8,5,13.0,8,5,11.4
9085,115.0,0,20,8,2,10.5,8,2,12.333333333333334
9085,158.7,1,18,7,6,14.857142857142858,7,6,14.0
9500,124.5,1,19,11,7,12.86,11,7,12.86
9238,111.9,1,20,12,11,11.727272727272728,14,11,12.0
9085,150.0,1,22,11,6,13.142857142857142,10,3,12.0
9670,114.2,1,18,6,5,11.8,9,4,13.714285714285714
9147,96.0,1,19,10,3,10.666666666666666,9,0,0.0
9500,131.3,1,19,8,7,14.731428571428571,8,7,14.731428571428571
171,137.1,1,18,0,0,0.0,0,0,0.0
9070,120.0,1,21,14,13,13.615384615384617,12,12,14.25
9991,139.0,1,27,5,5,15.8,5,5,14.8
9238,129.1,1,19,6,6,14.666666666666666,7,6,14.571428571428571
9085,128.2,1,25,5,0,0.0,5,0,0.0
9500,120.8,1,18,8,7,14.654285714285717,8,7,14.654285714285717
9500,135.8,1,24,8,7,12.401428571428571,8,7,12.401428571428571
9500,118.9,1,20,8,7,11.5875,9,7,14.071428571428571
9991,140.0,1,26,5,5,14.0,5,5,15.6
9238,127.1,1,20,9,6,12.333333333333334,6,6,11.833333333333334
9085,137.0,1,18,5,5,14.0,6,5,15.4
9085,127.4,1,19,13,6,15.23076923076923,10,6,12.375
9853,97.0,1,23,9,5,11.6,9,3,11.0
9500,126.3,1,18,7,6,11.6,7,6,11.6
9500,127.5,1,18,0,0,0.0,0,0,0.0
9500,126.6,1,19,7,7,12.901428571428571,9,8,13.094444444444443
9991,120.0,1,30,9,7,14.142857142857142,5,5,14.8
9085,140.0,1,29,0,0,0.0,0,0,0.0
9500,131.5,1,19,8,8,13.25375,8,8,13.25375
9556,112.2,1,20,7,7,13.785714285714286,8,8,14.1
9500,150.5,1,20,7,6,13.916666666666666,7,6,13.916666666666666
9670,121.0,1,19,8,6,13.5,9,6,13.571428571428571
9085,129.4,1,21,8,0,0.0,12,0,0.0
9670,114.4,1,19,10,5,11.5,9,4,14.6
9500,120.3,1,18,8,7,12.082857142857142,8,7,12.082857142857142
8014,120.0,1,27,8,6,11.833333333333334,10,5,12.8
9147,114.5,1,19,6,5,13.4,5,5,12.4
9500,127.8,1,19,7,0,0.0,7,0,0.0
9773,124.6,1,19,7,5,14.2,7,6,14.571428571428571
9500,130.3,1,18,8,7,13.814285714285717,8,7,13.814285714285717
9670,118.8,1,18,6,6,14.5,8,6,13.666666666666666
9670,133.0,1,19,0,0,0.0,0,0,0.0
9500,129.0,1,36,7,6,11.3,7,6,11.3
9500,132.5,1,19,9,7,12.3,9,7,12.3
9500,120.3,1,18,8,7,12.694285714285714,8,7,12.694285714285714
9670,114.6,1,18,5,4,11.0,5,4,11.0
9238,116.5,1,19,6,6,13.0,6,6,14.166666666666666
9500,127.8,1,19,8,7,14.4125,8,8,16.05
9500,129.9,1,18,8,7,12.92875,8,8,14.0625
9773,118.9,1,20,6,6,13.333333333333334,10,5,12.8
9500,114.8,1,20,8,7,14.402857142857142,8,7,14.402857142857142
9500,123.0,1,18,8,7,13.381428571428572,8,7,13.381428571428572
9500,122.1,1,18,8,7,14.13125,8,8,13.98375
9085,123.7,1,19,11,5,11.714285714285714,6,5,12.6
8014,114.8,1,44,9,6,11.166666666666666,15,2,11.0
9003,130.0,1,32,7,0,0.0,6,0,0.0
9853,122.3,1,22,9,5,13.6,8,5,12.0
9003,152.4,1,36,14,12,13.846153846153848,18,11,14.090909090909092
9773,120.1,1,18,7,6,12.5,8,6,13.333333333333334
9130,155.1,1,20,5,5,16.4,5,5,14.6
9070,124.5,1,20,11,11,13.818181818181818,11,11,13.454545454545457
9238,126.9,1,19,8,5,10.6,11,4,10.5
9147,153.2,1,24,8,5,10.2,6,5,12.2
8014,135.0,1,27,10,9,11.444444444444445,11,5,10.8
9238,125.2,1,23,18,16,13.0,15,13,13.266666666666667
9500,141.3,1,18,9,8,13.31,9,8,13.31
9238,117.1,1,18,10,5,10.571428571428571,9,5,12.2
9500,126.5,1,20,8,7,13.487142857142857,8,7,13.487142857142857
9254,120.1,1,20,6,6,12.333333333333334,7,6,11.833333333333334
9670,128.4,1,23,11,6,11.875,9,5,12.833333333333334
9500,140.0,1,20,7,6,13.966666666666669,7,6,13.966666666666669
9254,110.0,0,28,10,0,0.0,10,0,0.0
9670,116.8,1,21,8,4,11.5,5,5,12.8
9556,104.5,1,21,2,2,12.5,0,0,0.0
9500,140.0,1,28,0,0,0.0,0,0,0.0
9500,113.2,1,18,10,6,11.98,11,7,13.225
9500,123.8,1,19,10,6,11.614285714285714,8,8,14.0375
9500,126.7,1,18,8,7,14.314285714285717,8,7,14.314285714285717
9500,133.8,1,19,0,0,0.0,0,0,0.0
9500,100.6,1,20,9,6,12.766666666666666,10,7,12.128571428571428
9853,132.7,1,18,7,6,12.666666666666666,7,5,12.2
9670,106.6,1,20,7,6,11.5,10,4,10.571428571428571
9670,140.4,1,31,13,5,11.4,14,4,11.75
9500,128.3,1,19,8,7,14.70625,8,8,14.4775
9500,118.6,1,19,9,6,11.814285714285717,8,7,13.542857142857144
9070,123.4,1,23,8,6,13.0,8,6,11.875
9670,124.0,1,19,7,6,14.857142857142858,6,6,13.333333333333334
9500,121.3,1,20,7,6,12.6,7,6,12.6
9130,130.0,0,27,6,2,11.5,5,1,11.0
9556,120.0,1,29,9,1,10.0,0,0,0.0
9254,130.4,1,18,10,5,11.8,10,5,12.2
9070,118.7,1,18,7,5,11.8,6,6,12.666666666666666
9500,131.5,1,18,8,8,12.77125,8,8,12.77125
9254,129.1,1,18,6,6,12.666666666666666,7,5,14.6
9085,130.0,0,28,9,1,12.0,10,0,0.0
9500,132.8,1,18,12,7,11.721428571428572,12,7,11.721428571428572
9773,133.5,1,18,6,6,12.666666666666666,6,6,13.666666666666666
9130,146.2,1,18,12,4,13.0,6,5,14.0
9147,115.2,1,21,6,0,0.0,5,0,0.0
8014,101.8,0,32,5,0,0.0,10,0,0.0
9670,100.0,1,28,6,4,12.5,7,4,11.75
9991,121.9,0,40,4,0,0.0,0,0,0.0
8014,120.4,0,39,5,0,0.0,4,0,0.0
9238,120.4,0,39,0,0,0.0,0,0,0.0
9003,148.8,1,50,7,6,12.5,15,5,12.4
9853,123.0,1,23,10,5,12.8,9,3,11.666666666666666
8014,100.0,1,48,11,1,10.0,11,1,11.0
9853,112.1,1,23,11,4,11.25,10,5,10.2
9500,126.8,1,18,8,7,12.61,8,7,12.61
9130,115.9,1,18,14,2,12.0,6,5,12.6
9238,132.5,0,20,9,5,13.0,7,6,13.5
9085,132.2,1,18,9,4,12.0,8,5,13.0
9556,183.5,1,18,8,4,12.0,8,0,0.0
9119,136.0,1,31,12,1,12.0,9,1,11.0
171,114.5,1,24,0,0,0.0,0,0,0.0
9147,110.3,0,26,5,0,0.0,9,0,0.0
9130,137.2,1,18,11,5,13.625,9,4,11.75
9670,121.8,1,22,0,0,0.0,0,0,0.0
9500,127.3,1,18,8,7,11.69,8,7,11.69
9070,120.0,0,20,11,0,0.0,12,0,0.0
171,150.0,1,25,0,0,0.0,0,0,0.0
9991,100.0,1,24,10,4,11.5,11,5,11.285714285714286
9119,150.0,1,27,10,1,14.0,0,0,0.0
9254,116.9,1,21,7,5,11.0,7,5,12.4
9003,140.0,1,21,7,6,12.857142857142858,6,6,13.166666666666666
9773,122.1,1,19,9,4,12.5,6,6,11.333333333333334
9500,160.0,1,28,7,7,14.528571428571428,11,8,15.018181818181818
9003,150.0,1,21,8,6,13.0,10,6,12.625
9500,144.9,1,18,7,7,15.957142857142856,9,8,15.188888888888888
9147,116.3,1,19,8,5,13.25,8,5,11.0
9119,122.5,1,19,12,3,12.0,10,3,12.0
9773,115.0,0,25,10,4,13.0,9,4,13.75
9070,115.0,1,21,12,9,11.77777777777778,11,3,13.666666666666666
9119,119.8,1,19,10,2,11.0,10,0,0.0
9147,95.0,1,20,14,0,0.0,5,0,0.0
9003,150.0,1,25,16,14,12.428571428571429,13,6,10.857142857142858
